"display_title" "opening_date" "publication_date" "url" "critics_pick" "review" "sentiment_score" "genre.x" "MPAA_rating" "distributor" "production_budget" "opening_weekend" "domestic_total_gross" "foreign_box_office" "widest_release_theaters" "release_date" "close_date" "in_release_days" "in_release_weeks"
“Columbus” can be slyly mysterious from a structural standpoint, both with respect to the plot’s elisions and several cuts that demand that viewers fill in the blanks. The movie leaves quite a bit to the eye of the beholder, but it’s always worth looking at." 0.974125873 "Comedy" "Unrated" "Independent" "" "$26,820 " "$1,015,744 " "" "2,016" "21-Mar-08" "8-May-08" "49" 7
"70" "Company Town" "9/8/2017" "9/7/2017" "http://www.nytimes.com/2017/09/07/movies/company-town-review.html" 0 "The documentary “Company Town,” by Natalie Kottke-Masocco and Erica Sardarian, feels fueled by pure desperation; even the rudimentary qualities of the filmmaking (cheap-looking camera work, poorly punctuated title cards) somehow add to its urgency, as if the movie needed to get its message out by any means necessary.
The subject is the environment in Crossett, Ark., the site of a Georgia-Pacific paper mill. It is also, according to the interviewees in the film, a place where pollution has harmed the health of the populace. David Bouie, a pastor and activist on this issue who is the closest thing “Company Town” has to a principal figure, walks around a block and names the people who have had cancer. Barbara Bouie, his wife, says that she saw an ear, nose and throat specialist who blamed “the Crossett crud” for her health problems. His advice? Move.
We hear from a chemist and environmental science experts who have nothing good to say about their findings in Crossett, and while watching a movie is probably a poor way to assess air and water quality, what we see of the waterways, land and smoke-filled sky certainly looks damning. (Newsweek and The New Yorker, among others, have reported on the claims.)
Many residents, who have historically depended on the mill for employment, don’t have the means to leave, and the film argues that the pollution has been allowed to continue because regulators are susceptible to political influence. (Georgia-Pacific is owned by Koch Industries; Ms. Kottke-Masocco initially went to Crossett as a co-producer on a documentary called “Koch Brothers Exposed.”) The film shows visiting staff members from the Environmental Protection Agency who do not appear overly concerned with the seriousness of the complaints." 0.136173668 "Documentary" "Unrated" "First Run" "" "$4,915 " "$8,088 " "$118,000,000 " "2,953" "23-Jun-00" "" "" NA
"71" "Crash Pad" "9/26/2017" "10/26/2017" "http://www.nytimes.com/2017/10/26/movies/crash-pad-review.html" 0 "The sin of poor comedic timing is almost an unpardonable one. Kevin Tent, Alexander Payne’s longtime editor, has worked on some of that director’s funniest movies, including “Sideways” and the forthcoming “Downsizing.” Yet Mr. Tent’s directorial debut, “Crash Pad,” indicates this artist has more to learn about his new craft.
“Crash Pad” follows a millennial slacker and self-professed romantic, Stensland (Domhnall Gleeson), in the depths of heartbreak after the end of his fling with a married woman, Morgan (Christina Applegate). After binge-watching episodes of “Dawson’s Creek” and trying to blackmail his former flame, Stensland receives an unusual proposal from Morgan’s husband, Grady (Thomas Haden Church from “Sideways”). The two men become roommates in a bid to make Morgan jealous while they mend their bruised feelings with women and cheap tequila.
The movie’s premise isn’t as bad as the forced, unnatural dialogue. Even the reliable Ms. Applegate and Mr. Church can’t salvage the screenwriter Jeremy Catalino’s clumsy lines. “Morgan’s faithlessness has emboldened me to take a vacation,” Grady declares when moving into Stensland’s apartment. Saddled with the wordiest scenes in the movie, Mr. Gleeson comes across like a college freshman fumbling through his first Shakespeare play.
Stensland and Grady’s romantic plight might have earned more sympathy if their characters weren’t so insufferable. While Mr. Tent’s direction is serviceable, it’s safe. His movie lacks any stylish risks that would make this trio’s bad romance memorable, leaving “Crash Pad” to feel like a warm-up act." 0.037758505 "Comedy" "R" "Vertical Entertainment" "" "" "" "" "" "" "" "" NA
"72" "Crooked House" "11/21/2017" "12/21/2017" "http://www.nytimes.com/2017/12/21/movies/crooked-house-review-glenn-close.html" 0 "The premise of the murder mystery “Crooked House” is old school: A much-loathed patriarch is sent to his grave, and a houseful of resentful, back-stabbing kinfolk are under suspicion. This intermittently diverting movie is adapted from a 1949 Agatha Christie novel, and it’s several degrees more engaging than another recent Christie-based movie, “Murder on the Orient Express.” But it’s still slight.
Max Irons plays the young private eye Charles Hayward, who gets a visit in his dingy office from the beautiful Sophia (Stefanie Martini), an old love whose grandfather, an unpopular tycoon, has shuffled off this mortal coil under unusual circumstances. After consulting with the vinegary Scotland Yard hand Chief Inspector Taverner (Terence Stamp, always welcome), Charles sets out to the estate, filled with aunts, sons, in-laws and others, embodied by an all-star cast including Glenn Close, Julian Sands, Gillian Anderson and Christina Hendricks. Ms. Hendricks, her distinctive red hair here a vermilion that borders on magenta, plays an ex-showgirl who is the last wife of the dead old man.
The movie’s director, Gilles Paquet-Brenner, worked on the adaptation with Julian Fellowes, writer of Robert Altman’s acclaimed 2001 mansion mystery “Gosford Park.” At its best, as when Ms. Hendricks swans around her cavernous bedroom bopping to early rock ’n’ roll records, the movie feels like a version of “Gosford Park” taken over by François Ozon. But “Crooked House” is not so often this giddy. The superb cast provides mild pleasures, as do some aspects of the elaborate mystery itself. And that’s all, folks." 0.773562486 "Crime" "PG-13" "Vertical Entertainment" "" "" "" "" "" "1982" "" "" NA
"73" "Crown Heights" "8/18/2017" "8/17/2017" "http://www.nytimes.com/2017/08/17/movies/crown-heights-review-lakeith-stanfield.html" 0 "“Crown Heights” begins with, and periodically circles back to, a real-life shooting that took place on a Brooklyn street in the spring of 1980. A jury convicted two young men of the murder, one of whom, Colin Warner, had nothing to do with it. Nonetheless, Mr. Warner spent more than 20 years in prison until, thanks in large part to the tireless efforts of his friend Carl King (known as CK), his conviction was overturned and he was released.
